Timestamp,Input Video,Output Video,Resolution,Crop Size,Total Frames,Detected Faces,Face Detection Rate (%),Processing Time (s),Original FPS,Processing FPS,Output Size (MB),GPU,CPU,RAM (GB),SSIM (0-1),PSNR (dB),LPIPS (0-1),Face Recognition Accuracy (0-1)
"2025-05-18 23:29:56.500025","./demo_file/talking-man.mp4","./output/aaron_talking_man_swapsingle.mp4","4096x2160",224,513,513,100.0,2001.11,25.00,0.26,19.23,"NVIDIA GeForce RTX 4070 Laptop GPU","AMD64 Family 26 Model 36 Stepping 0, AuthenticAMD",31.12,0.9741,32.81,0.0412,0.3323
"2025-05-18 23:49:09.351277","./demo_file/videvo-man-interview.mp4","./output/messi_man_interview_swapsingle.mp4","1920x1080",224,998,883,88.48,913.25,25.00,1.09,8.45,"NVIDIA GeForce RTX 4070 Laptop GPU","AMD64 Family 26 Model 36 Stepping 0, AuthenticAMD",31.12,0.9469,32.29,0.0727,0.3255
"2025-05-19 15:03:19.933181","./demo_file/freepik-man-interview.mp4","./output/ironman_freepik_interview_swapsingle.mp4","1920x1080",224,379,379,100.0,390.91,24.00,0.97,5.18,"NVIDIA GeForce RTX 4070 Laptop GPU","AMD64 Family 26 Model 36 Stepping 0, AuthenticAMD",31.12,0.9652,33.91,0.0235,0.3158
"2025-05-19 15:29:27.855729","./demo_file/man-talking.mp4","./output/messi_man_talking_swapsingle.mp4","3840x2160",224,513,513,100.0,1544.65,25.00,0.33,18.47,"NVIDIA GeForce RTX 4070 Laptop GPU","AMD64 Family 26 Model 36 Stepping 0, AuthenticAMD",31.12,0.9743,33.50,0.0344,0.2786
"2025-05-19 15:42:51.641075","./demo_file/freepik-man-interview.mp4","./output/aaron_freepik_interview_swapsingle.mp4","1920x1080",224,379,379,100.0,391.01,24.00,0.97,5.19,"NVIDIA GeForce RTX 4070 Laptop GPU","AMD64 Family 26 Model 36 Stepping 0, AuthenticAMD",31.12,0.9647,33.77,0.0236,0.2468
"2025-05-19 15:56:25.916060","./demo_file/mixkit-doctor.mp4","./output/elon_doctor_swapsingle.mp4","1280x720",224,1122,967,86.19,680.08,25.00,1.65,3.86,"NVIDIA GeForce RTX 4070 Laptop GPU","AMD64 Family 26 Model 36 Stepping 0, AuthenticAMD",31.12,0.9545,32.98,0.0579,0.3816
"2025-05-19 16:09:15.788694","./demo_file/talking-woman.mp4","./output/ella_talking_woman_swapsingle.mp4","3840x2160",224,231,231,100.0,656.93,25.00,0.35,6.86,"NVIDIA GeForce RTX 4070 Laptop GPU","AMD64 Family 26 Model 36 Stepping 0, AuthenticAMD",31.12,0.9873,33.30,0.0245,0.3274
"2025-05-25 13:16:23.463407","./demo_file/mixkit-doctor.mp4","./output/elon_doctor_swapsingle.mp4","1280x720",224,1122,967,86.19,693.84,25.00,1.62,3.85,"NVIDIA GeForce RTX 4070 Laptop GPU","AMD64 Family 26 Model 36 Stepping 0, AuthenticAMD",31.12,0.9545,32.98,0.0579,0.3856
"2025-05-25 13:23:15.542666","./demo_file/freepik-man-interview.mp4","./output/elon_freepik_interview_swapsingle.mp4","1920x1080",224,379,379,100.0,394.55,24.00,0.96,5.18,"NVIDIA GeForce RTX 4070 Laptop GPU","AMD64 Family 26 Model 36 Stepping 0, AuthenticAMD",31.12,0.9650,33.70,0.0237,0.1617
"2025-05-25 13:40:37.890529","./demo_file/talking-man2.mp4","./output/ironman_talking_man2_swapsingle.mp4","3840x2160",224,356,356,100.0,1019.59,25.00,0.35,8.64,"NVIDIA GeForce RTX 4070 Laptop GPU","AMD64 Family 26 Model 36 Stepping 0, AuthenticAMD",31.12,0.9876,33.11,0.0252,0.1350
"2025-05-25 14:06:48.025634","./demo_file/man-talking.mp4","./output/ironman_man_talking_swapsingle.mp4","3840x2160",224,513,513,100.0,1547.2,25.00,0.33,18.46,"NVIDIA GeForce RTX 4070 Laptop GPU","AMD64 Family 26 Model 36 Stepping 0, AuthenticAMD",31.12,0.9742,33.50,0.0344,0.3113
"2025-05-25 14:43:45.053873","./demo_file/Business-Woman.mp4","./output/ella_business_woman_swapsingle.mp4","3840x2160",224,728,728,100.0,2181.1,25.00,0.33,32.04,"NVIDIA GeForce RTX 4070 Laptop GPU","AMD64 Family 26 Model 36 Stepping 0, AuthenticAMD",31.12,0.9591,32.68,0.0419,0.3172
"2025-05-25 14:55:08.909640","./demo_file/talking-woman.mp4","./output/zoe_talking_woman_swapsingle.mp4","3840x2160",224,231,231,100.0,661.15,25.00,0.35,6.86,"NVIDIA GeForce RTX 4070 Laptop GPU","AMD64 Family 26 Model 36 Stepping 0, AuthenticAMD",31.12,0.9873,33.30,0.0245,0.1749
"2025-05-25 15:44:34.068389","./demo_file/Business-Woman.mp4","./output/asian_business_woman_swapsingle.mp4","3840x2160",224,728,728,100.0,2168.26,25.00,0.34,32.08,"NVIDIA GeForce RTX 4070 Laptop GPU","AMD64 Family 26 Model 36 Stepping 0, AuthenticAMD",31.12,0.9588,32.41,0.0421,0.1416
"2025-05-25 15:50:57.295094","./demo_file/Business-Woman2.mp4","./output/asian_business_woman2_swapsingle.mp4","1920x1080",224,357,357,100.0,365.83,25.00,0.98,2.5,"NVIDIA GeForce RTX 4070 Laptop GPU","AMD64 Family 26 Model 36 Stepping 0, AuthenticAMD",31.12,0.9540,33.80,0.0529,0.1475
"2025-05-25 20:42:05.347164","./demo_file/mixkit-businessman.mp4","./output/messi_mixkit-businessman.mp4","1280x720",224,272,272,100.0,192.45,25.00,1.41,1.47,"NVIDIA GeForce RTX 4070 Laptop GPU","AMD64 Family 26 Model 36 Stepping 0, AuthenticAMD",31.12,0.9281,29.75,0.0836,0.2186
"2025-05-25 20:54:51.126143","./demo_file/mixkit-doctor.mp4","./output/messi_doctor.mp4","1280x720",224,1122,967,86.19,698.48,25.00,1.61,3.86,"NVIDIA GeForce RTX 4070 Laptop GPU","AMD64 Family 26 Model 36 Stepping 0, AuthenticAMD",31.12,0.9534,32.59,0.0576,0.3232
"2025-05-25 23:48:45.804376","./demo_file/freepik-man-interview.mp4","./output/tom_interview_swapsingle.mp4","1920x1080",224,379,379,100.0,390.49,24.00,0.97,5.17,"NVIDIA GeForce RTX 4070 Laptop GPU","AMD64 Family 26 Model 36 Stepping 0, AuthenticAMD",31.12,0.9658,34.12,0.0231,0.3984
"2025-05-29 11:18:38.814969","./demo_file/Business-Woman.mp4","./output/ella_business_woman_swapsingle.mp4","3840x2160",224,728,728,100.0,2180.94,25.00,0.33,32.06,"NVIDIA GeForce RTX 4070 Laptop GPU","AMD64 Family 26 Model 36 Stepping 0, AuthenticAMD",31.12,0.9591,32.68,0.0419,0.3145
